N,P,K,temperature,humidity,ph,rainfall,label
45.27,53.62,146.38,25.68,86.97,7.08,50.63,papaya
60.07,81.66,29.54,25.4,72.68,6.19,153.08,papaya
40.48,54.04,110.61,29.62,55.4,6.67,18.97,cotton
29.84,40.19,46.42,25.65,71.06,6.74,-34.9,blackgram
-13.99,114.58,169.74,28.65,23.74,6.43,101.38,Arecanut
68.33,3.39,61.9,34.6,89.95,6.56,177.03,cotton
64.75,57.06,75.53,29.53,56.37,7.43,195.53,blackgram
19.32,104.87,24.9,26.59,80.52,5.83,46.91,banana
73.47,18.86,8.73,21.59,70.9,6.11,24.22,grapes
-10.31,40.94,91.9,21.83,102.6,6.79,-10.53,jute
48.55,59.33,-24.96,19.62,100.6,5.25,13.78,orange
79.58,59.72,82.53,34.18,70.69,6.37,144.88,Arecanut
33.62,25.34,-13.89,23.95,101.67,7.16,134.63,mango
-57.06,13.64,55.75,27.36,84.92,5.59,146.31,maize
18.51,19.44,66.37,22.71,34.96,6.65,172.5,mango
42.25,81.26,55.98,23.7,103.03,6.5,139.95,mango
-11.2,43.8,36.28,32.35,53.75,5.81,67.53,kidneybeans
106.64,84.9,28.34,29.53,29.53,7.63,123.81,mothbeans
40.03,65.7,5.67,28.15,68.18,6.68,217.31,blackgram
80.76,-0.31,75.74,23.91,99.8,5.77,45.19,mango
-0.45,23.8,19.18,14.43,64.84,6.73,151.02,kidneybeans
39.47,54.56,25.76,28.28,110.47,7.07,68.1,pigeonpeas
39.15,37.01,146.11,22.04,115.54,6.73,192.17,pigeonpeas
63.94,66.3,22.31,24.76,37.73,6.54,52.39,lentil
-18.72,4.05,8.73,15.84,94.82,6.41,180.97,jute
56.0,34.82,2.13,30.85,94.37,7.04,115.39,lentil
13.18,60.01,-19.66,23.53,47.91,5.86,93.66,papaya
20.44,74.95,72.49,23.2,91.17,6.71,81.5,lentil
31.65,69.21,175.28,29.25,57.31,5.91,63.74,rice
75.17,68.28,96.41,27.32,52.56,6.23,100.35,lentil
73.68,83.28,85.72,27.2,68.62,6.81,68.7,apple
131.43,52.86,161.18,24.87,70.25,4.9,119.44,chickpea
86.81,73.9,72.74,33.98,104.38,5.56,123.67,papaya
76.53,45.05,37.36,29.21,60.57,6.34,131.52,Arecanut
42.1,130.96,-44.15,21.49,56.25,6.96,148.88,chickpea
72.3,51.41,107.79,27.39,117.23,6.29,110.13,chickpea
-9.84,71.41,-21.39,23.6,107.47,7.62,168.67,chickpea
79.92,52.76,68.41,38.35,60.93,6.32,156.06,mothbeans
112.57,7.49,125.23,27.67,85.35,6.41,89.68,mothbeans
37.97,77.78,57.5,25.47,81.39,6.45,94.25,Paddy
71.89,37.44,106.6,25.67,67.82,7.41,57.7,apple
79.84,35.67,20.16,33.77,90.35,8.35,162.11,mango
102.58,13.16,41.84,34.31,59.52,6.5,79.31,blackgram
7.19,50.54,102.26,28.93,96.9,6.32,166.45,chickpea
16.36,28.46,111.64,24.38,100.43,7.67,56.1,muskmelon
-1.79,82.79,8.16,27.69,76.21,6.37,155.35,jute
102.78,30.64,110.63,32.3,46.04,6.48,105.02,rice
18.14,83.09,1.4,31.1,56.16,5.64,-3.99,apple
25.42,122.81,147.77,28.29,100.83,5.49,178.47,apple
-8.36,51.98,127.27,22.81,109.2,6.62,3.86,watermelon
26.76,10.54,61.21,21.87,78.77,7.01,78.39,Arecanut
16.04,82.34,85.82,24.82,55.84,5.79,182.05,lentil
63.46,24.03,60.12,22.11,35.07,6.62,64.11,coffee
49.67,16.03,114.42,27.91,71.09,6.42,92.34,cotton
64.53,2.78,28.1,29.98,21.38,6.1,164.43,kidneybeans
31.23,80.42,1.55,27.12,77.96,7.18,116.45,banana
40.33,37.25,-7.25,30.54,91.66,5.91,245.96,chickpea
63.29,52.57,38.31,30.71,32.65,6.58,49.27,kidneybeans
84.4,36.08,13.7,20.04,82.65,6.72,81.48,jute
-40.14,41.74,39.62,25.14,78.55,4.96,84.22,lentil
-25.6,52.06,80.82,29.6,60.29,6.57,79.6,jute
17.25,44.89,36.02,35.17,67.11,5.57,187.43,blackgram
19.82,17.42,120.73,30.91,87.16,6.74,31.42,kidneybeans
63.86,76.53,40.44,27.18,68.99,6.1,135.85,grapes
72.54,3.24,142.47,27.61,69.61,7.68,78.17,papaya
119.41,71.91,58.86,23.2,15.39,6.5,30.36,pomegranate
53.6,48.38,22.06,28.1,44.32,6.46,3.03,blackgram
16.41,106.84,23.89,19.0,54.24,6.87,155.93,grapes
94.61,55.77,54.89,29.56,75.34,7.68,94.11,orange
104.25,68.91,83.18,28.83,76.89,4.37,61.14,apple
38.48,-2.68,25.03,17.17,83.29,6.44,127.68,papaya
45.62,7.49,34.89,22.59,93.25,7.61,134.84,pigeonpeas
-39.75,62.87,26.61,23.8,70.45,7.03,130.11,coffee
83.6,53.88,-40.53,18.33,83.48,5.38,72.45,blackgram
20.39,94.08,57.64,26.72,45.24,7.4,18.41,lentil
94.34,120.52,46.46,17.03,78.29,6.6,87.84,cotton
21.3,12.27,161.78,25.69,74.12,7.27,29.33,grapes
33.26,55.06,4.38,24.31,52.01,6.07,32.13,coffee
54.09,27.25,91.98,19.48,84.46,6.99,24.14,muskmelon
-5.09,23.6,68.86,29.71,87.75,8.05,145.03,muskmelon
83.7,50.7,-29.03,22.84,53.26,6.56,79.68,Paddy
14.25,35.0,-16.99,23.2,20.98,7.29,109.62,cotton
28.26,92.86,20.92,21.13,80.47,7.37,152.89,grapes
8.14,76.36,36.21,35.63,99.6,5.78,85.52,lentil
72.25,77.06,-9.58,26.39,52.03,6.33,172.92,Paddy
32.19,126.65,89.12,19.56,47.31,6.86,107.19,rice
12.15,34.31,-17.59,27.38,77.68,7.74,120.23,Arecanut
-49.37,36.06,70.16,26.46,64.08,5.48,58.76,blackgram
36.13,32.34,-37.29,24.65,43.74,5.94,142.4,coffee
-9.75,87.29,53.99,33.91,73.37,6.67,29.62,mungbean
78.88,94.67,0.15,33.27,50.34,7.11,75.4,coconut
31.53,-29.98,-102.05,34.48,83.38,6.98,82.23,jute
44.84,82.34,-6.06,34.27,84.5,7.06,68.67,pigeonpeas
-1.21,31.64,69.76,16.49,47.94,5.69,113.92,coconut
45.96,109.87,143.53,25.32,77.41,6.23,108.17,banana
3.33,27.16,19.1,28.61,75.37,5.38,105.82,chickpea
63.91,69.69,164.26,22.9,87.03,5.1,125.93,maize
66.63,16.6,-11.61,34.57,95.93,6.6,118.04,coffee
24.25,77.64,62.37,29.42,99.6,4.74,124.23,grapes
70.98,16.4,25.81,26.33,69.32,7.18,72.66,mungbean
32.54,68.53,113.4,27.75,99.66,7.28,96.88,grapes
72.35,85.98,82.4,26.08,94.25,6.27,77.13,coffee
87.21,108.15,60.23,33.57,52.98,6.57,106.91,rice
104.57,15.09,-4.34,23.48,73.54,5.76,153.94,banana
0.62,104.2,13.46,23.29,78.49,4.98,56.65,Arecanut
112.33,3.09,34.18,33.54,75.56,6.19,90.09,pigeonpeas
-1.53,56.19,95.14,32.93,68.7,5.25,182.01,maize
63.08,65.27,97.6,28.08,50.31,6.49,45.36,rice
107.8,65.3,-22.45,21.96,108.79,7.05,66.27,Paddy
48.14,52.83,-30.1,28.31,97.52,5.16,111.68,maize
70.4,16.54,25.02,17.27,96.38,6.46,93.19,Paddy
79.39,9.61,26.4,18.15,54.84,4.29,99.1,mothbeans
72.69,83.13,9.02,15.58,63.03,6.51,95.71,grapes
-9.05,42.9,28.49,29.13,83.17,5.78,198.77,muskmelon
121.05,45.35,78.38,22.79,89.75,4.77,130.81,blackgram
-15.76,-2.42,96.24,31.04,78.38,6.38,-28.33,pomegranate
44.87,28.77,41.51,25.21,79.52,4.96,138.52,muskmelon
81.26,88.99,-60.11,27.06,35.07,6.49,222.51,mango
21.57,103.13,-8.4,21.59,59.23,5.36,184.95,banana
35.29,37.74,64.95,30.39,85.75,7.74,73.31,kidneybeans
46.15,76.92,29.03,26.9,66.34,6.85,130.65,blackgram
95.28,5.56,95.2,34.92,37.58,6.39,150.14,coconut
35.76,57.92,-2.88,18.72,68.91,5.87,121.57,muskmelon
105.28,62.58,45.16,27.15,24.86,7.05,75.94,jute
-17.59,74.09,-22.69,13.56,61.4,6.78,59.42,maize
68.27,68.42,97.51,26.51,88.85,6.83,49.26,maize
-36.13,77.93,-58.16,16.0,41.3,5.39,93.36,lentil
46.17,59.77,50.36,21.66,58.58,6.87,140.48,kidneybeans
71.54,48.38,5.1,21.96,59.41,6.18,191.57,blackgram
58.57,14.19,41.92,30.12,99.19,5.08,283.55,watermelon
69.84,64.92,96.79,24.3,63.54,4.7,164.26,Paddy
55.31,32.58,89.25,27.64,50.06,6.33,165.88,cotton
106.38,7.61,88.5,24.33,129.78,7.31,166.14,orange
95.37,39.17,36.21,24.24,71.97,6.52,221.58,jute
46.08,55.96,-25.05,19.76,63.14,5.41,153.28,jute
19.62,7.7,69.62,29.75,85.6,8.06,129.97,coconut
15.65,6.28,55.2,27.14,59.4,6.92,112.58,muskmelon
48.01,-1.84,15.22,25.61,57.25,6.18,176.33,cotton
37.09,93.03,99.83,34.71,46.68,6.02,133.22,mothbeans
73.23,86.62,33.58,17.24,72.54,6.58,96.62,rice
39.55,52.48,-1.44,21.95,36.15,5.27,105.61,watermelon
66.8,69.57,-2.65,19.71,95.49,7.16,40.8,coffee
64.31,25.96,49.54,22.9,90.1,5.58,82.72,Paddy
35.3,69.21,-3.24,26.47,48.24,7.24,125.87,jute
-1.12,21.53,40.46,27.66,59.89,6.57,-1.2,grapes
-21.36,50.84,70.32,17.68,100.65,5.98,89.54,mothbeans
14.84,132.09,67.52,34.86,68.13,6.88,217.9,cotton
50.99,26.34,85.51,18.08,60.12,5.36,75.9,muskmelon
33.5,8.75,28.36,21.76,95.5,6.8,122.36,jute
22.97,0.68,63.71,24.89,68.63,7.19,102.36,coffee
85.81,70.98,50.94,27.77,83.64,6.05,21.26,coffee
-88.82,33.66,96.43,19.81,86.94,5.64,183.32,lentil
35.03,82.93,28.12,20.53,75.75,5.65,32.06,apple
62.92,36.33,-18.9,34.96,79.36,9.07,0.94,banana
74.37,38.36,125.14,39.27,68.86,8.27,87.79,blackgram
34.69,105.63,67.26,28.27,98.11,5.48,158.48,Arecanut
92.2,46.81,-5.57,23.42,68.36,7.32,49.84,grapes
32.87,60.48,-48.01,27.07,102.12,6.5,136.22,chickpea
6.16,51.95,50.54,22.69,72.62,7.6,59.24,Paddy
55.15,67.66,115.87,28.16,67.32,6.22,119.72,lentil
41.75,30.73,84.5,27.24,151.67,6.09,22.51,cotton
69.0,25.81,-28.56,29.68,32.71,6.38,42.47,Arecanut
85.27,19.74,25.51,23.23,63.94,6.8,113.56,lentil
-26.14,42.39,29.37,26.68,71.15,6.84,154.44,banana
30.32,58.24,26.01,23.52,29.89,6.29,114.34,muskmelon
20.28,83.91,49.75,29.45,51.55,6.65,70.21,apple
91.37,74.11,48.66,29.25,123.14,6.04,48.88,coconut
29.5,-2.8,107.56,29.15,77.83,7.04,209.11,coconut
60.3,35.74,-41.19,15.73,77.97,6.82,23.85,jute
45.12,47.71,86.1,27.0,71.41,5.67,109.17,mango
69.66,82.4,30.12,30.94,76.74,6.59,11.27,grapes
20.64,67.38,60.33,18.16,91.12,7.62,61.64,coffee
38.82,32.96,26.37,28.04,68.32,6.18,153.56,orange
40.61,56.92,106.5,38.35,48.65,6.62,128.88,banana
87.27,71.27,138.11,27.92,98.2,7.41,151.96,Paddy
67.91,64.89,89.64,29.25,87.0,5.53,106.37,pomegranate
26.58,63.29,44.36,31.52,88.14,6.12,165.59,jute
35.39,30.16,32.01,27.15,38.26,7.29,32.51,pigeonpeas
129.41,86.24,168.94,29.41,98.41,5.8,71.78,mungbean
79.59,73.65,12.86,27.51,103.96,6.57,14.46,grapes
25.53,76.45,-16.57,22.39,61.11,6.84,113.77,blackgram
117.99,70.26,80.57,20.88,64.57,6.57,82.48,mango
60.24,13.78,70.1,26.9,73.68,5.31,90.67,muskmelon
84.61,26.91,103.14,24.29,88.6,6.58,56.6,maize
34.51,39.49,49.11,23.34,83.89,6.08,86.86,pigeonpeas
44.14,68.05,10.92,32.91,44.91,6.54,125.44,mothbeans
76.66,35.27,29.11,28.83,52.21,5.11,154.11,muskmelon
83.09,50.6,42.35,27.52,67.99,7.22,163.88,rice
28.33,112.93,69.0,20.06,63.13,5.3,189.9,Paddy
84.33,14.79,91.14,32.96,92.65,6.06,74.95,kidneybeans
14.92,35.39,134.94,23.58,69.31,5.5,155.92,jute
59.31,27.42,-44.11,20.12,59.96,6.76,82.16,cotton
71.74,37.7,-32.99,28.41,83.31,6.19,54.53,apple
105.51,-15.42,-9.66,21.32,86.35,4.66,64.75,papaya
91.88,11.44,5.93,19.88,113.01,6.53,-5.52,Arecanut
59.46,-26.18,56.39,23.82,71.75,6.25,32.81,coconut
126.26,22.85,56.63,25.5,48.96,6.79,27.63,watermelon
60.01,59.12,67.41,32.5,72.32,6.82,124.69,coffee
92.7,42.59,111.43,18.7,92.69,6.25,113.8,rice
108.11,71.71,23.17,23.21,57.56,6.54,5.49,coconut
28.79,52.09,26.83,20.72,89.73,6.33,168.63,mothbeans
58.72,88.9,26.64,20.44,77.7,7.75,78.02,banana
34.87,63.75,129.31,22.79,86.71,5.47,143.58,Arecanut
10.21,110.77,-0.7,27.13,95.27,7.06,105.94,orange
88.96,35.73,82.99,27.67,70.42,6.01,132.95,mango
62.9,50.82,-15.44,26.19,84.01,6.4,147.46,mothbeans
97.42,58.04,37.67,23.25,71.63,6.25,122.89,grapes
71.54,66.35,131.55,26.16,83.56,4.35,82.43,watermelon
35.22,46.43,0.35,22.95,45.81,6.57,105.02,chickpea
39.14,71.85,25.72,25.88,80.24,6.61,101.64,Arecanut
103.22,67.03,-23.26,27.81,96.91,5.63,131.6,jute
99.67,90.08,57.77,24.9,42.0,6.48,25.1,pigeonpeas
58.89,-3.52,65.36,30.79,84.06,6.3,122.52,mothbeans
8.55,92.22,78.42,17.65,77.15,6.68,154.46,mungbean
72.25,85.49,41.82,25.63,60.77,6.05,138.14,kidneybeans
55.4,92.85,47.67,27.95,79.93,8.86,126.74,coffee
73.18,54.72,83.74,17.39,76.81,5.52,85.06,chickpea
89.57,75.14,25.45,17.53,74.86,7.98,86.14,maize
56.54,47.47,93.62,15.69,94.87,5.67,177.73,chickpea
21.96,60.88,65.33,25.85,70.87,6.22,81.36,lentil
79.11,149.65,36.23,22.22,82.96,6.63,63.71,pigeonpeas
56.14,92.02,-26.94,27.34,80.22,6.64,161.11,Arecanut
66.11,71.99,87.81,28.92,68.62,6.22,85.83,orange
78.03,40.38,46.69,34.62,71.88,6.56,128.93,apple
24.58,31.71,-3.73,29.2,77.76,6.5,194.34,chickpea
59.71,-7.33,6.03,21.23,46.38,4.95,9.73,chickpea
47.45,58.9,71.68,31.25,75.44,6.91,147.38,rice
9.74,42.41,86.89,24.06,87.79,5.86,86.1,coconut
79.14,143.27,65.3,30.14,104.76,7.74,52.13,pomegranate
46.12,60.18,-20.44,23.64,53.71,6.58,72.11,mango
48.27,-40.56,65.6,21.07,66.75,6.26,59.16,jute
51.51,29.99,89.23,27.31,74.89,6.78,118.41,watermelon
-26.51,31.51,57.95,37.55,53.69,6.09,96.7,muskmelon
49.64,79.57,75.27,19.25,73.78,6.73,150.75,orange
139.61,42.2,115.22,31.31,49.92,7.09,127.02,muskmelon
-8.48,42.52,32.49,19.37,84.3,7.31,-46.6,Paddy
33.68,48.84,5.16,31.51,75.37,7.52,154.98,coconut
30.39,35.68,82.84,29.42,64.63,7.39,90.66,maize
56.48,30.87,17.25,21.67,68.2,7.4,76.8,pigeonpeas
76.64,23.47,11.43,31.24,62.41,5.73,134.08,cotton
44.39,106.34,41.3,27.24,72.45,5.6,175.12,mango
124.93,82.12,23.93,24.49,35.44,5.48,44.04,apple
31.34,55.72,68.12,20.74,91.89,6.99,66.55,coconut
73.04,27.6,15.01,26.88,94.76,6.48,169.36,apple
58.8,59.35,84.96,25.0,38.51,6.72,212.49,kidneybeans
-45.57,113.96,-58.3,29.68,54.87,7.27,77.27,cotton
35.96,55.62,75.0,29.71,102.8,6.17,-44.03,mothbeans
114.28,40.26,51.43,29.14,70.12,5.93,120.48,rice
32.43,61.62,-3.6,12.58,42.86,7.72,11.85,jute
-0.16,66.98,56.06,24.29,65.47,6.45,46.16,maize
31.82,35.19,-17.54,20.41,67.93,6.96,93.13,cotton
60.09,16.59,58.39,20.94,84.33,7.33,72.41,jute
35.44,50.48,183.53,21.08,70.47,5.7,64.46,coconut
68.94,119.5,56.74,27.27,103.72,6.3,128.13,pomegranate
51.32,28.68,56.38,31.61,103.75,6.39,44.55,mothbeans
12.41,15.55,115.58,25.62,18.31,6.6,50.94,orange
18.3,79.06,-4.62,24.03,60.95,7.78,240.27,pomegranate
129.61,17.15,143.32,24.96,96.2,5.29,129.67,lentil
25.32,40.11,8.4,27.47,61.8,5.77,103.41,lentil
54.27,46.92,108.67,18.61,77.82,7.09,53.12,Paddy
72.44,34.71,15.06,18.65,65.05,7.25,119.56,muskmelon
44.89,-21.24,65.21,24.97,85.87,5.88,150.94,banana
79.69,77.06,-30.39,29.31,106.4,5.31,88.07,maize
4.66,61.25,-36.3,33.6,88.29,7.7,193.77,pomegranate
12.78,6.22,157.54,30.02,91.92,6.38,179.38,mango
46.62,40.73,85.13,26.44,79.88,7.51,139.9,kidneybeans
83.47,47.44,-0.86,15.02,99.14,7.44,77.97,apple
87.65,-36.94,86.12,22.53,80.8,6.07,55.39,mango
23.94,85.81,12.05,19.38,100.83,5.29,68.15,rice
64.37,81.03,119.54,19.79,71.96,6.74,107.46,coffee
60.45,48.81,-42.95,17.26,102.74,6.91,116.58,watermelon
19.54,29.71,64.39,21.66,74.36,5.98,43.48,muskmelon
71.14,36.74,83.63,32.31,77.32,5.82,21.05,muskmelon
36.36,22.84,27.4,33.73,79.98,5.23,75.36,papaya
90.23,71.02,134.68,27.18,65.21,6.58,38.03,coconut
77.18,63.32,26.69,24.05,60.49,7.98,156.55,blackgram
92.89,48.52,19.71,29.8,106.54,6.89,80.33,coffee
-11.95,77.99,-9.26,29.44,88.58,5.43,33.28,cotton
40.35,58.02,5.94,34.27,110.21,6.8,238.21,rice
75.0,53.41,108.41,24.15,36.53,6.18,125.44,coffee
70.32,34.3,-9.94,23.67,70.61,6.12,184.22,grapes
16.01,83.95,74.74,29.6,79.77,6.56,79.02,rice
44.11,58.92,34.75,27.43,96.26,7.73,51.37,muskmelon
118.85,7.89,100.33,36.63,98.32,6.62,190.76,kidneybeans
13.45,70.56,32.13,31.92,39.22,6.67,112.69,jute
94.53,66.6,13.52,28.26,55.69,5.58,52.73,coconut
35.39,46.23,42.19,40.14,45.35,7.92,106.03,pigeonpeas
69.45,42.91,-20.74,27.01,82.57,7.37,12.39,chickpea
22.39,97.07,15.26,15.59,64.43,6.76,193.1,grapes
82.06,49.36,80.32,32.15,64.98,5.72,164.84,jute
-10.27,67.05,-8.08,29.7,51.13,5.83,25.13,watermelon
66.54,9.45,179.09,17.76,93.94,6.62,105.3,banana
84.95,84.26,25.69,24.49,69.91,7.03,10.97,rice
-9.44,57.94,-28.18,16.26,67.42,6.94,41.49,banana
25.87,70.38,162.93,21.52,88.58,6.58,128.14,pigeonpeas
78.51,67.76,91.8,19.24,63.18,6.54,187.25,jute
19.78,90.24,74.28,25.34,64.13,6.19,133.32,kidneybeans
58.32,21.78,44.0,26.84,100.67,6.98,185.82,maize
90.32,87.49,87.45,18.07,88.99,6.45,59.59,grapes
28.95,50.16,-83.85,22.51,44.72,6.4,100.6,mango
25.96,0.55,-6.08,25.58,101.54,6.23,94.2,pomegranate
110.73,23.91,48.12,25.7,34.86,5.3,63.65,chickpea
18.27,56.26,100.38,23.31,40.36,6.37,167.37,mungbean
61.68,84.69,18.84,24.87,77.51,5.86,68.85,blackgram
58.94,52.4,0.75,27.98,57.45,7.57,111.16,Arecanut
22.29,35.01,-76.91,27.75,59.35,7.63,47.18,Arecanut
109.84,46.33,21.86,29.21,68.33,5.85,62.69,apple
20.01,-10.85,53.49,24.71,44.5,6.91,67.22,mothbeans
-39.8,61.32,89.77,26.22,82.24,6.52,42.21,mothbeans
24.2,18.34,55.38,33.61,59.54,7.54,68.65,papaya
13.46,30.26,89.7,25.09,72.66,6.06,132.68,rice
22.69,70.94,62.3,22.86,107.84,5.99,155.41,chickpea
71.31,71.93,128.42,26.48,82.69,6.64,156.46,banana
76.5,41.61,-11.15,21.48,37.74,7.22,166.12,grapes
-7.26,80.53,86.08,23.64,70.81,6.44,158.5,muskmelon
78.53,50.83,101.56,28.81,103.26,6.38,102.64,chickpea
24.77,77.77,-50.49,23.53,84.95,6.48,59.48,orange
13.43,-11.06,-10.23,16.7,73.4,6.32,154.1,rice
24.0,94.35,35.11,25.87,92.82,5.98,19.43,maize
68.38,96.42,35.94,27.16,62.32,5.57,62.12,apple
43.11,42.27,107.17,37.88,124.4,6.18,118.39,kidneybeans
37.42,51.91,91.32,23.49,126.31,6.14,30.11,cotton
4.98,105.46,146.33,32.97,73.91,6.85,130.38,blackgram
70.47,36.04,43.56,26.4,92.86,6.06,25.02,coconut
74.08,13.73,0.7,22.95,98.78,7.3,106.19,muskmelon
46.73,80.8,28.08,30.65,82.36,6.79,62.28,papaya
63.36,76.08,-39.76,40.8,96.09,6.77,98.41,mango
14.94,99.58,13.87,26.58,60.74,7.89,85.19,jute
84.69,52.49,-16.85,27.04,86.1,7.12,140.84,coffee
31.71,61.81,71.26,33.18,97.03,5.07,124.74,banana
76.36,28.25,0.81,25.65,37.98,6.82,115.8,rice
98.54,-3.31,45.52,30.71,43.77,5.79,64.9,pigeonpeas
99.89,94.95,42.65,19.77,106.37,6.07,178.98,orange
124.77,23.39,16.51,37.01,76.28,6.67,35.75,rice
61.81,115.7,21.6,34.03,74.61,5.42,124.93,mothbeans
32.44,68.98,101.28,31.65,67.67,6.45,97.39,jute
8.73,102.63,92.7,19.42,70.77,7.1,114.34,mungbean
108.88,55.63,71.65,22.96,52.8,7.13,140.83,chickpea
33.78,99.61,-52.51,24.4,56.32,7.87,91.61,banana
36.23,152.52,100.85,17.93,35.05,6.85,135.08,rice
-5.26,65.97,-10.54,22.75,49.7,5.29,210.34,Arecanut
126.92,77.89,113.73,24.65,63.01,5.32,89.98,papaya
31.81,12.88,31.08,29.61,58.27,5.69,167.9,orange
80.35,26.82,41.55,25.94,55.64,6.21,89.94,blackgram
33.0,74.72,4.24,21.19,66.62,6.88,109.98,apple
54.46,60.81,30.44,32.74,66.16,7.48,132.65,watermelon
11.77,51.54,101.39,31.91,67.18,6.72,222.15,watermelon
37.1,27.54,13.83,24.33,96.64,6.95,154.33,kidneybeans
11.21,88.9,141.62,39.2,101.39,5.6,110.99,lentil
54.07,80.8,64.95,21.63,68.14,5.85,126.88,maize
54.6,26.92,127.48,31.86,72.2,5.15,101.76,cotton
7.06,64.12,81.13,18.23,41.18,5.36,119.24,chickpea
25.48,62.84,-16.39,22.76,65.84,5.53,178.7,papaya
54.29,17.0,-61.57,30.35,69.24,5.12,49.33,papaya
45.73,81.56,160.04,27.23,82.44,5.08,179.19,pigeonpeas
84.19,38.81,138.95,19.46,60.54,6.52,77.13,pigeonpeas
66.64,42.28,73.41,24.9,87.26,6.1,156.51,watermelon
35.95,39.94,53.17,21.66,27.84,7.99,162.49,coconut
70.16,-4.74,-7.82,19.47,44.61,6.26,85.62,mungbean
58.36,107.27,72.69,35.9,72.05,6.11,91.56,cotton
108.77,-6.59,39.6,21.85,88.15,6.3,209.91,jute
123.94,109.38,78.74,28.32,57.22,6.54,99.62,lentil
20.41,85.6,-39.48,23.26,69.12,7.15,181.84,apple
56.51,28.84,14.85,22.25,86.21,6.29,135.56,coconut
44.73,42.85,111.55,17.82,83.5,7.32,202.8,lentil
7.23,25.66,127.57,27.35,59.41,6.89,9.36,pomegranate
76.86,42.27,51.87,27.14,70.79,6.19,34.01,Paddy
112.82,86.87,33.34,28.69,87.2,6.75,130.01,mothbeans
74.79,99.83,83.58,23.01,63.76,6.32,108.89,apple
-6.06,28.21,54.15,16.14,96.73,7.64,95.88,chickpea
57.43,76.03,107.7,19.16,79.93,6.46,97.54,mango
7.79,70.85,35.03,37.56,62.95,6.15,91.21,pigeonpeas
89.99,74.51,78.38,28.01,95.53,5.02,136.65,maize
117.58,59.61,8.06,25.33,70.42,6.37,114.32,orange
63.07,56.43,140.3,22.99,71.88,5.66,90.68,cotton
51.77,36.53,22.92,21.02,56.75,5.77,188.96,mango
-18.38,-74.34,67.33,21.39,77.57,6.48,118.56,rice
85.36,79.76,49.29,25.88,32.08,5.95,-1.51,jute
65.15,49.56,84.51,28.03,129.73,5.98,117.94,maize
104.27,80.35,7.05,23.78,83.43,6.0,132.6,jute
5.74,42.04,56.18,23.48,63.63,5.86,47.1,blackgram
76.3,45.3,102.93,22.14,75.08,6.66,157.89,coffee
55.67,78.14,23.65,36.07,51.96,6.72,130.13,cotton
75.78,103.88,-2.14,27.1,77.62,7.41,164.45,coconut
101.13,46.46,40.83,19.77,53.81,5.76,0.25,pomegranate
25.79,26.03,5.81,19.19,89.1,6.13,113.61,Paddy
89.53,17.19,31.71,24.5,56.97,5.42,181.91,rice
99.46,57.53,27.51,34.57,89.83,7.38,89.2,chickpea
18.12,44.15,71.98,28.1,72.07,6.68,89.75,orange
59.46,30.27,-27.02,26.44,65.79,6.28,146.97,chickpea
52.28,38.56,50.07,22.02,76.06,5.39,85.29,kidneybeans
62.67,96.17,-11.23,26.5,77.9,6.73,75.15,jute
25.58,-0.01,62.34,20.91,36.69,6.28,147.82,blackgram
24.67,15.99,54.25,22.73,67.66,6.52,216.76,grapes
-4.34,33.74,113.03,27.85,78.73,5.28,151.82,kidneybeans
59.08,81.94,130.5,22.97,81.97,6.44,118.09,rice
39.77,17.33,45.88,25.28,48.66,6.92,91.88,chickpea
51.37,62.32,38.43,25.53,90.18,5.18,142.59,apple
10.9,31.2,89.47,22.24,77.24,5.33,93.28,rice
59.57,10.43,71.26,30.21,63.46,6.18,77.74,watermelon
23.06,103.73,62.8,28.47,84.66,6.48,88.27,rice
96.54,106.88,21.09,30.25,84.84,5.03,129.37,Paddy
73.55,-9.43,22.5,27.61,111.27,4.86,107.21,lentil
25.46,27.59,117.72,21.68,114.22,5.64,68.61,banana
77.95,4.28,67.49,16.72,74.59,5.04,62.85,Arecanut
28.91,19.79,4.32,29.57,95.1,5.89,68.27,Arecanut
27.77,49.03,21.97,13.4,70.38,7.68,46.2,jute
126.3,68.41,7.84,27.09,88.67,6.81,63.37,banana
84.35,47.61,8.56,21.37,94.92,7.27,112.43,watermelon
75.64,57.61,139.56,25.36,57.28,5.6,20.89,chickpea
50.55,77.55,30.94,32.66,72.76,6.07,45.94,papaya
92.55,88.6,-22.28,26.15,56.8,6.22,149.39,kidneybeans
96.4,3.83,114.36,25.7,65.55,7.63,208.02,blackgram
-16.91,17.23,21.33,26.12,100.97,7.31,92.03,papaya
85.83,84.14,43.23,22.95,73.27,6.81,33.47,Arecanut
48.82,20.34,-23.3,27.06,78.08,6.77,175.35,mango
39.5,35.18,34.93,30.72,79.03,7.18,37.4,Arecanut
31.73,84.39,67.01,30.09,56.5,6.96,-13.01,blackgram
96.28,5.18,150.39,20.61,67.43,6.3,177.03,Arecanut
35.72,90.31,2.35,30.41,76.84,7.58,62.66,papaya
-17.49,39.28,73.28,28.82,69.03,6.82,153.44,kidneybeans
32.4,44.97,96.69,21.71,60.37,6.13,121.89,Paddy
24.45,62.22,102.69,25.23,17.62,6.17,75.48,jute
100.88,13.23,24.83,33.3,47.74,6.45,56.2,banana
30.78,46.42,10.61,25.11,89.33,5.42,95.93,papaya
41.13,86.78,99.38,32.16,83.27,5.89,24.79,mungbean
